Uniswap version,Pool address,Contract address for token0,Contract address for token1,Fee tier (in bps),Amount of token0 in the pool (normalized by decimals),Amount of token1 in the pool (normalized by decimals),Total value locked in the pool as token0 denominated in USD,Total value locked in the pool as token1 denominated in USD,Pool level price of token0 quoted by token1,Pool level price of token1 quoted by token0,Price of token0 in USD from external API,Price of token1 in USD from external API
v3,0xE0554a476A092703abdB3Ef35c80e0D76d32939F,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,100,11311.804331,9.100905160647905,11309.179992395208,15325.287227169827,0.0005956381079614663,1678.8717622894155,0.999768,1683.93
v3,0x88e6A0c2dDD26FEEb64F039a2c41296FcB3f5640,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,500,94293733.663492,57058.639274623536,94293733.663492,95998878.23398311,0.0005930485288986859,1686.20264830104,1.0,1682.46
v3,0x8ad599c3A0ff1De082011EFDDc58f1908eb6e6D8,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,3000,23891969.922192,21520.234469207586,23915861.89211419,36226517.09842997,0.0005945016156201103,1682.0812151316427,1.001,1683.37
v3,0x7BeA39867e4169DBe237d55C8242a8f2fcDcc387,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,10000,472010.405837,935.7444773344434,472482.416242837,1575204.180810482,0.0005964677505930466,1676.5365755411515,1.001,1683.37
v2,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,N/A,28355624.944845,16856.620557701717,28355624.944845,28360589.823510833,1682.165464173626,0.0005944718407896075,1.0,1682.46
